Subject,Start Date,Start Time,End Time,Description,Location
Intro to Programming-LAB,02/10/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,02/17/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,02/24/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,03/03/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,03/10/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,03/17/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,03/24/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,03/31/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,04/07/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,04/14/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,04/21/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,04/28/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,05/05/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
